%    Z          R(cov)     R(vdw)      r4/r2
   1 H        0.4267     1.0912     1.0622
   2 He       0.6133     0.8673     0.8289
   3 Li       1.6000     1.7478     2.6564
   4 Be       1.2533     1.5491     2.0393
   5 B        1.0267     1.6080     1.9286
   6 C        1.0000     1.4551     1.6431
   7 N        0.9467     1.3113     1.4350
   8 O        0.8400     1.2408     1.3725
   9 F        0.8533     1.1498     1.2638
  10 Ne       0.8933     1.0687     1.1722
  11 Na       1.8667     1.8541     3.4851
  12 Mg       1.6667     1.7420     2.8909
  13 Al       1.5067     2.0053     2.9910
  14 Si       1.3867     1.8959     2.5839
  15 P        1.4667     1.7509     2.2740
  16 S        1.3600     1.6554     2.1385
  17 Cl       1.3200     1.5523     1.9735
  18 Ar       1.2800     1.4574     1.8240
  19 K        2.3467     2.1206     4.2216
  20 Ca       2.0533     2.0518     3.7446
  21 Sc       1.7733     1.9451     3.4970
  22 Ti       1.6267     1.8821     3.3274
  23 V        1.6133     1.8605     3.2160
  24 Cr       1.4667     1.7207     2.9350
  25 Mn       1.4267     1.7731     3.0718
  26 Fe       1.3867     1.7210     2.9550
  27 Co       1.3333     1.7164     2.8648
  28 Ni       1.3200     1.6731     2.7967
  29 Cu       1.3467     1.6504     2.7654
  30 Zn       1.4533     1.6155     2.6978
  31 Ga       1.4933     1.9789     3.2394
  32 Ge       1.4533     1.9309     2.9321
  33 As       1.5333     1.8313     2.6813
  34 Se       1.4667     1.7634     2.5771
  35 Br       1.5200     1.6831     2.4294
  36 Kr       1.5600     1.6048     2.2817
  37 Rb       2.5200     2.3088     5.0561
  38 Sr       2.2267     2.2382     4.5901
  39 Y        1.9600     2.1098     4.2187
  40 Zr       1.8533     2.0299     3.9341
  41 Nb       1.7600     1.9298     3.4858
  42 Mo       1.6533     1.8772     3.2784
  43 Tc       1.5333     1.7845     3.1831
  44 Ru       1.5067     1.7311     3.0778
  45 Rh       1.5067     1.6987     2.9936
  46 Pd       1.4400     1.6762     2.9244
  47 Ag       1.5333     1.6654     2.8801
  48 Cd       1.6400     1.7310     2.9543
  49 In       1.7067     2.1311     3.7153
  50 Sn       1.6800     2.0937     3.4228
  51 Sb       1.6800     2.0075     3.1650
  52 Te       1.6400     1.9450     3.0782
  53 I        1.7600     1.8690     2.9281
  54 Xe       1.7467     1.7944     2.7807
  55 Cs       2.7867     2.5283     5.8326
  56 Ba       2.3467     2.5907     5.3747
  57 La       2.1600     2.3131     4.9487
  58 Ce       1.9600     2.3100     4.7992
  59 Pr       2.1067     2.2851     4.7480
  60 Nd       2.0933     2.2635     4.7102
  61 Pm       2.0800     2.2448     4.6884
  62 Sm       2.0667     2.2258     4.6660
  63 Eu       2.0133     2.2117     4.6531
  64 Gd       2.0267     2.0621     4.1803
  65 Tb       2.0133     2.1214     4.6599
  66 Dy       2.0000     2.0770     4.4580
  68 Er       1.9867     2.1225     4.4852
  69 Tm       1.9733     2.1104     4.4720
  70 Yb       2.0400     2.0993     4.4839
  71 Lu       1.9467     2.0065     4.1462
  72 Hf       1.8267     2.1225     4.3430
  73 Ta       1.7467     2.0490     4.0776
  74 W        1.6400     1.9928     3.8776
  75 Re       1.5733     1.9478     3.7248
  77 Ir       1.4800     1.7228     3.2039
  78 Pt       1.4933     1.6762     3.1155
  79 Au       1.5067     1.6282     3.0198
  80 Hg       1.7600     1.6799     3.0610
  81 Tl       1.7333     2.1564     4.1264
  82 Pb       1.7333     2.1382     3.8442
  83 Bi       1.8133     2.0587     3.5886
  84 Po       1.7467     2.0027     3.5343
  85 At       1.8400     1.9322     3.3816
  86 Rn       1.8933     1.8608     3.2255
  87 Fr       2.6800     2.5398     6.2398
  88 Ra       2.4133     2.4647     5.8791
  89 Ac       2.2267     2.3521     5.0345
  90 Th       2.1067     2.2126     4.5890
  91 Pa       2.0267     2.2297     4.6416
  92 U        2.0400     2.1978     4.5795
  93 Np       2.0533     2.1770     4.5188
  94 Pu       2.0667     2.2170     4.6833
  95 Am       1.9867     2.8807     4.4715
  96 Cm       1.9867     2.8807     4.4934
  97 Bk       2.0133     2.9193     4.3798
  98 Cf       2.0133     2.9193     4.3357
  99 Es       1.9733     2.8613     4.2936
