%%    Z          R(cov)      r4/r2   hardness         EN   
   1 H        0.4267     1.0622     0.4726     2.2000
   2 He       0.6133     0.8289     0.9220     3.0000
   3 Li       1.6000     2.6564     0.1745     0.9800
   4 Be       1.2533     2.0393     0.2570     1.5700
   5 B        1.0267     1.9286     0.3395     2.0400
   6 C        1.0000     1.6431     0.4220     2.5500
   7 N        0.9467     1.4350     0.5044     3.0400
   8 O        0.8400     1.3725     0.5869     3.4400
   9 F        0.8533     1.2638     0.6693     3.9800
  10 Ne       0.8933     1.1722     0.7519     4.5000
  11 Na       1.8667     3.4851     0.1796     0.9300
  12 Mg       1.6667     2.8909     0.2216     1.3100
  13 Al       1.5067     2.9910     0.2635     1.6100
  14 Si       1.3867     2.5839     0.3054     1.9000
  15 P        1.4667     2.2740     0.3473     2.1900
  16 S        1.3600     2.1385     0.3892     2.5800
  17 Cl       1.3200     1.9735     0.4312     3.1600
  18 Ar       1.2800     1.8240     0.4731     3.5000
  19 K        2.3467     4.2216     0.1711     0.8200
  20 Ca       2.0533     3.7446     0.2028     1.0000
  21 Sc       1.7733     3.4970     0.2101     1.3600
  22 Ti       1.6267     3.3274     0.2174     1.5400
  23 V        1.6133     3.2160     0.2247     1.6300
  24 Cr       1.4667     2.9350     0.2320     1.6600
  25 Mn       1.4267     3.0718     0.2393     1.5500
  26 Fe       1.3867     2.9550     0.2467     1.8300
  27 Co       1.3333     2.8648     0.2540     1.8800
  28 Ni       1.3200     2.7967     0.2613     1.9100
  29 Cu       1.3467     2.7654     0.2686     1.9000
  30 Zn       1.4533     2.6978     0.2759     1.6500
  31 Ga       1.4933     3.2394     0.3076     1.8100
  32 Ge       1.4533     2.9321     0.3393     2.0100
  33 As       1.5333     2.6813     0.3724     2.1800
  34 Se       1.4667     2.5771     0.4027     2.5500
  35 Br       1.5200     2.4294     0.4345     2.9600
  36 Kr       1.5600     2.2817     0.4661     3.0000
  37 Rb       2.5200     5.0561     0.1559     0.8200
  38 Sr       2.2267     4.5901     0.1865     0.9500
  39 Y        1.9600     4.2187     0.1936     1.2200
  40 Zr       1.8533     3.9341     0.2006     1.3300
  41 Nb       1.7600     3.4858     0.2077     1.6000
  42 Mo       1.6533     3.2784     0.2148     2.1600
  43 Tc       1.5333     3.1831     0.2218     1.9000
  44 Ru       1.5067     3.0778     0.2289     2.2000
  45 Rh       1.5067     2.9936     0.2360     2.2800
  46 Pd       1.4400     2.9244     0.2431     2.2000
  47 Ag       1.5333     2.8801     0.2501     1.9300
  48 Cd       1.6400     2.9543     0.2572     1.6900
  49 In       1.7067     3.7153     0.2878     1.7800
  50 Sn       1.6800     3.4228     0.3185     1.9600
  51 Sb       1.6800     3.1650     0.3491     2.0500
  52 Te       1.6400     3.0782     0.3798     2.1000
  53 I        1.7600     2.9281     0.4104     2.6600
  54 Xe       1.7467     2.7807     0.4411     2.6000
  55 Cs       2.7867     5.8326     0.0502     0.7900
  56 Ba       2.3467     5.3747     0.0676     0.8900
  57 La       2.1600     4.9487     0.0850     1.1000
  58 Ce       1.9600     4.7992     0.1025     1.1200
  59 Pr       2.1067     4.7480     0.1199     1.1300
  60 Nd       2.0933     4.7102     0.1373     1.1400
  61 Pm       2.0800     4.6884     0.1548     1.1500
  62 Sm       2.0667     4.6660     0.1722     1.1700
  63 Eu       2.0133     4.6531     0.1896     1.1800
  64 Gd       2.0267     4.1803     0.2070     1.2000
  65 Tb       2.0133     4.6599     0.2245     1.2100
  66 Dy       2.0000     4.4580     0.2419     1.2200
  68 Er       1.9867     4.4852     0.2768     1.2400
  69 Tm       1.9733     4.4720     0.2942     1.2500
  70 Yb       2.0400     4.4839     0.3116     1.2600
  71 Lu       1.9467     4.1462     0.3290     1.2700
  72 Hf       1.8267     4.3430     0.3459     1.3000
  73 Ta       1.7467     4.0776     0.3639     1.5000
  74 W        1.6400     3.8776     0.3813     2.3600
  75 Re       1.5733     3.7248     0.3988     1.9000
  77 Ir       1.4800     3.2039     0.4336     2.2000
  78 Pt       1.4933     3.1155     0.4510     2.2800
  79 Au       1.5067     3.0198     0.4685     2.5400
  80 Hg       1.7600     3.0610     0.4858     2.0000
  81 Tl       1.7333     4.1264     0.1253     1.6200
  82 Pb       1.7333     3.8442     0.1427     2.3300
  83 Bi       1.8133     3.5886     0.1601     2.0200
  84 Po       1.7467     3.5343     0.1776     2.0000
  85 At       1.8400     3.3816     0.1950     2.2000
  86 Rn       1.8933     3.2255     0.2124     2.2000
  87 Fr       2.6800     6.2398     0.0726     1.5000
  88 Ra       2.4133     5.8791     0.0942     1.5000
  89 Ac       2.2267     5.0345     0.0992     1.5000
  90 Th       2.1067     4.5890     0.1042     1.5000
  91 Pa       2.0267     4.6416     0.1424     1.5000
  92 U        2.0400     4.5795     0.1639     1.5000
  93 Np       2.0533     4.5188     0.1855     1.5000
  94 Pu       2.0667     4.6833     0.2237     1.5000
  95 Am       1.9867     4.4715     0.0000     1.5000
  96 Cm       1.9867     4.4934     0.0000     1.5000
  97 Bk       2.0133     4.3798     0.0000     1.5000
  98 Cf       2.0133     4.3357     0.0000     1.5000
  99 Es       1.9733     4.2936     0.0000     1.5000
